scenario,source,variable,shock,horizon,response
rstar_2,dynare,i,e_i,13,1.97478807803e-06
rstar_2,dynare,i,e_i,14,1.29476848403e-06
rstar_2,dynare,i,e_i,15,8.48914091533e-07
rstar_2,dynare,i,e_i,16,5.56589956964e-07
rstar_2,dynare,i,e_i,17,3.64927833432e-07
rstar_2,dynare,i,e_i,18,2.39264690186e-07
rstar_2,dynare,i,e_i,19,1.5687373427e-07
rstar_3,dynare,x,e_x,0,0.00399727838858
rstar_3,dynare,x,e_x,1,-0.000657862568214
rstar_3,dynare,x,e_x,2,-0.000431608488068
rstar_3,dynare,x,e_x,3,-0.000283168394089
rstar_3,dynare,x,e_x,4,-0.000185780265281
rstar_3,dynare,x,e_x,5,-0.000121886155688
rstar_3,dynare,x,e_x,6,-7.99667011239e-05
rstar_3,dynare,x,e_x,7,-5.24643119027e-05
rstar_3,dynare,x,e_x,8,-3.44206273953e-05
rstar_3,dynare,x,e_x,9,-2.25825813266e-05
rstar_3,dynare,x,e_x,10,-1.48159117937e-05
rstar_3,dynare,x,e_x,11,-9.72037868944e-06
rstar_3,dynare,x,e_x,12,-6.37731671067e-06
rstar_3,dynare,x,e_x,13,-4.1840106983e-06
rstar_3,dynare,x,e_x,14,-2.74503310997e-06
rstar_3,dynare,x,e_x,15,-1.80095303721e-06
rstar_3,dynare,x,e_x,16,-1.18156383267e-06
rstar_3,dynare,x,e_x,17,-7.75196832918e-07
rstar_3,dynare,x,e_x,18,-5.08588798294e-07
rstar_3,dynare,x,e_x,19,-3.33673403665e-07
rstar_3,dynare,x,e_pi,0,-0.0014402053367
rstar_3,dynare,x,e_pi,1,-0.000944885570198
rstar_3,dynare,x,e_pi,2,-0.000619917672862
rstar_3,dynare,x,e_pi,3,-0.000406713715658
rstar_3,dynare,x,e_pi,4,-0.000266835506948
rstar_3,dynare,x,e_pi,5,-0.000175064633985
rstar_3,dynare,x,e_pi,6,-0.000114855876651
rstar_3,dynare,x,e_pi,7,-7.53542968735e-05
rstar_3,dynare,x,e_pi,8,-4.94382196441e-05
rstar_3,dynare,x,e_pi,9,-3.24352779203e-05
rstar_3,dynare,x,e_pi,10,-2.12800392356e-05
rstar_3,dynare,x,e_pi,11,-1.39613439102e-05
rstar_3,dynare,x,e_pi,12,-9.15971637184e-06
rstar_3,dynare,x,e_pi,13,-6.00947906964e-06
rstar_3,dynare,x,e_pi,14,-3.94268088906e-06
rstar_3,dynare,x,e_pi,15,-2.58670217714e-06
