variable,period,e_x,e_pi,e_i,initial,smoothed
pi,84,0.01046407249,0.004514133739,0.001890746391,-3.469446952e-18,0.01686895262
pi,85,0.008231068971,0.0170307616,-0.0002807139426,0,0.02498111662
pi,86,0.006656681029,0.02371510544,-0.004308841846,0,0.02606294462
pi,87,0.003847539262,0.028856172,-0.006640766643,3.469446952e-18,0.02606294462
pi,88,0.001047895009,0.01666095859,-0.008954270972,8.67361738e-18,0.008754582624
pi,89,-0.002071363456,0.0186146502,-0.007814942121,6.938893904e-18,0.008728344624
pi,90,-0.00448983099,0.00494406731,-0.007799809696,6.071532166e-18,-0.007345573376
pi,91,-0.006772541255,0.0140548404,-0.004583838518,1.387778781e-17,0.002698460624
pi,92,-0.008637026485,0.005950681962,-0.0006813628537,1.040834086e-17,-0.003367707376
pi,93,-0.009342297044,0.01227610674,0.004819790931,8.67361738e-18,0.007753600624
pi,94,-0.009741861389,-0.0002503518234,0.007658630836,3.469446952e-18,-0.002333582376
pi,95,-0.008052447044,0.001483194466,0.008259706201,1.734723476e-18,0.001690453624
pi,96,-0.006188579956,-0.0007318016021,0.007575774182,3.035766083e-18,0.0006553926238
pi,97,-0.004624590669,0.007628901149,0.007774342144,0,0.01077865262
pi,98,-0.003313352168,-0.01093800382,0.004898772612,1.734723476e-18,-0.009352583376
pi,99,-0.003163395765,0.003389466877,0.003469361511,8.67361738e-19,0.003695432624
pi,100,-0.002501344993,-0.007043762154,0.001198539771,-3.469446952e-18,-0.008346567376
pi,101,-0.002501414586,0.006386803747,0.0008140434627,-8.67361738e-19,0.004699432624
i,1,0.0009036568617,-0.0003971644585,0.0002844187475,0.0002820408906,0.001072952041
i,2,0.001032012713,-0.0004021413768,-0.001653781581,0.0001339798034,-0.0008899304419
i,3,0.001336421607,0.0001729321603,0.001060751668,5.372132789e-05,0.002623826763
i,4,0.002126017324,-0.0003657617297,0.00401625018,1.471478419e-05,0.005791220559
i,5,0.002098544862,-8.40136086e-05,0.001849616639,-1.531323422e-06,0.003862616569
i,6,0.001202168032,-9.400134832e-05,-0.0005204511378,-6.474933434e-06,0.0005812406122
i,7,-0.0001678322686,0.0006729415899,-0.002615616635,-6.549299193e-06,-0.002117056613
i,8,-0.001066889228,-0.0001517739847,-0.001436314172,-5.015061604e-06,-0.002659992446
i,9,-0.001809540832,0.0006957153003,-0.002096380636,-3.32035425e-06,-0.003213526522
i,10,-0.002134582779,-0.00116963585,3.434873455e-05,-1.976506329e-06,-0.003271846401
i,11,-0.002545033556,-0.00158811202,0.0008623662634,-1.067088241e-06,-0.003271846401
i,12,-0.002994008786,-0.002717434138,0.002206731628,-5.160234369e-07,-0.00350522732
i,13,-0.003553242283,-0.002682631953,0.0006019818187,-2.131785366e-07,-0.005634105597
i,14,-0.003831729063,-0.001773379435,-0.0001253135514,-6.350133431e-08,-0.005730485551
i,15,-0.003507763737,-0.001899995454,-0.0001709039482,5.134269407e-10,-0.005578662626
i,16,-0.00294160131,-0.002481615592,0.0006420276221,2.130650553e-08,-0.004781167973
i,17,-0.002672641348,-0.002666774572,0.00171741421,2.302983297e-08,-0.00362197868
i,18,-0.002255533975,-0.001347260962,0.001214361994,1.811248558e-08,-0.002388414831
i,19,-0.001377961012,-0.0001673018866,0.0004955985101,1.219563969e-08,-0.001049652192
i,20,-0.000301116832,-0.001005622858,0.001972646252,7.360262158e-09,0.0006659139228
